a,b,,,
611012,- - - Of Kashmir (cashmere) goats:,,,
"Schedule B No
and Headings",Commodity Description,,"Unit of
Quantity","Second
Quantity"

6110120010,- - - - Men's or boys',,Doz,kg
6110120020,- - - - Women's or girls',,Doz,kg
611019,- - - Other:,,,
6110190010,- - - - Men's or boys',,Doz,kg
6110190020,- - - - Women's or girls',,Doz,kg
611020,- - Of cotton:,,,
,- - - Containing 36 percent or more by weight of flax fibers:,,,
,- - - - Sweaters:,,,
6110201010,- - - - - Men's or boys',,Doz,kg
6110201020,- - - - - Women's or girls',,Doz,kg
,- - - - Other:,,,
6110201023,- - - - - Men's or boys',,Doz,kg
6110201027,- - - - - Women's or girls',,Doz,kg
,- - - Other:,,,
6110202005,- - - - Boys' or girls' garments exported as parts of playsuits,,Doz,kg
,- - - - Other:,,,
,- - - - - Sweaters:,,,
6110202012,- - - - - - Men's or boys',,Doz,kg
6110202022,- - - - - - Women's or girls',,Doz,kg
,- - - - - Sweatshirts:,,,
6110202040,- - - - - - Men's or boys',,Doz,kg
6110202045,- - - - - - Women's or girls',,Doz,kg
,- - - - - Other:,,,
6110202060,- - - - - - Men's or boys',,Doz,kg
6110202070,- - - - - - Women's or girls',,Doz,kg
611030,- - Of manmade fibers:,,,
,- - - Other:,,,
"- - - - Containing 23 percent or more by weight of wool or fine animal
hair:"
6110301570,- - - - - Men's or boys',,Doz,kg
6110301580,- - - - - Women's or girls',,Doz,kg
,- - - - Other:,,,
- - - - - Containing 30 percent or more by weight of silk or silk waste:
6110302070,- - - - - - Men's or boys',,Doz,kg
6110302080,- - - - - - Women's or girls',,Doz,kg
,- - - - - Other:,,,
6110303005,"- - - - - - Boys' and girls' garments, exported as parts of playsuits",,Doz,kg
,- - - - - - Other:,,,
,- - - - - - - Sweaters:,,,
6110303012,- - - - - - - - Men's or boys',,Doz,kg
6110303022,- - - - - - - - Women's or girls',,Doz,kg
,- - - - - - - Sweatshirts:,,,
6110303040,- - - - - - - - Men's or boys',,Doz,kg
6110303045,- - - - - - - - Women's or girls',,Doz,kg
"Schedule B No
and Headings",Commodity Description,,"Unit of
Quantity","Second
Quantity"

,- - - - - - - Other:,,,
6110303060,- - - - - - - - Men's or boys',,Doz,kg
6110303070,- - - - - - - - Women's or girls',,Doz,kg
- - - Containing 25 percent or more by weight of leather:
6110301070,- - - - Men's or boys',,Doz,kg
6110301080,- - - - Women's or girls',,Doz,kg
611090,- - Of other textile materials:,,,
,- - - Sweaters:,,,
6110900011,- - - - Men's or boys',,Doz,kg
6110900027,- - - - Women's or girls',,Doz,kg
,- - - Other:,,,
6110900092,- - - - Men's or boys',,Doz,kg
6110900096,- - - - Women's or girls',,Doz,kg
6111,"- Babies' garments and clothing accessories, knitted or crocheted:",,,
6111200000,- - Of cotton,,Doz,kg
6111300000,- - Of synthetic fibers,,Doz,kg
611190,- - Of other textile materials:,,,
6111900500,- - - Of wool or fine animal hair,,Doz,kg
6111901500,- - - Of artificial fibers,,Doz,kg
6111906002,- - - Other,,Doz,kg
6112,"- Track suits, ski-suits and swimwear, knitted or crocheted:",,,
- - Track suits (including warm-up suits and jogging suits):
611211,- - - Of cotton:,,,
