61,,,,,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of manmade fibers,,6107.12.0000
,,,,,- - Other:,,,,6107.91.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6107.19.0000
,,,,,,,,,6107.99,,,,,- - - Of other textile materials:,,,,,,,,,,,,,,,,,,
,,,,,,,,,6107.99.1000,,,,,- - - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6107.99.8000,,,,,- - - - Other,,Doz.,kg,,,,,,,,,," nightshirts, pajamas",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6107.21.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of manmade fibers,,6107.22.0000
6108,,,,,"- Women's or girls' slips, petticoats, briefs, panties, nightdresses, pajamas, negligees, bathrobes, dressing gowns and similar articles,
knitted or crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials,,6107.29.0000
,,,,,- - Slips and petticoats:,,,,6108.11.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.19.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,," bathrobes,dressing gowns",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6107.91.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials:,,6107.99
,,,,,- - Briefs and panties:,,,,6108.21.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - - Of manmade fibers,,6107.99.1000
,,,,,,,,,6108.22.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,- - - - Other,,6107.99.8000
,,,,,,,,,6108.29.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,," slips, petticoats",men's or boy's,Knitted or Crocheted,- - - Of manmade fibers,,6108.11.0000
,,,,,- - Nightdresses and pajamas:,,,,6108.31.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6108.19.0000
,,,,,,,,,6108.32.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.39.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - Other:,,,,6108.91.0000,,,,,- - - Of cotton,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6108.92.0000,,,,,- - - Of manmade fibers,,Doz.,kg,,,,,,,,,,"briefs, panties",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.21.0000
,,,,,,,,,6108.99.0000,,,,,- - - Of other textile materials,,Doz.,kg,,,,,,,,,,,,,- - - Of manmade fibers,,6108.22.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- - - Of other textile materials,,6108.29.0000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,,,,,"- T-shirts, singlets, tank tops and similar garments, knitted or
crocheted:",,,,,,,,,,,,,,,,,,,,,,,,,,,
6109.10,,,,,- - Of cotton:,,,,,,,,,,,,,,,,,,,,,,"nightdresses, pajamas",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.31.0000
,,,,,- - - Men's or boys':,,,,6109.10.0004,,,,,"- - - - T-shirts, all white, short hemmed sleeves,hemmed bottom,
crew or round neckline, or V-neck, with a mitered seam at the center of the V, without pockets, trim or embroidery",,,,,,,,,,,,,,,,- - - Of manmade fibers,,6108.32.0000
,,,,,,,,,,,,,,,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6108.39.0000
,,,,,,,,,6109.10.0007,,,,,"- - - - Singlets, all white, without pockets, trim or embroidery",,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.10.0011,,,,,- - - - Thermal undershirts,,Doz.,kg,,,,,,,,,,"negligees, bathrobes, dressing gowns",men's or boy's,Knitted or Crocheted,- - - Of cotton,,6108.91.0000
,,,,,,,,,6109.10.0013,,,,,- - - - Other T-shirts,,Doz.,kg,,,,,,,,,,,,,- - - Of manmade fibers,,6108.92.0000
,,,,,,,,,6109.10.0024,,,,,- - - - Tank tops and other singlets,,Doz.,kg,,,,,,,,,,,,,- - - Of other textile materials,,6108.99.0000
,,,,,,,,,6109.10.0027,,,,,- - - - Other,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - Women's or girls':,,,,6109.10.0037,,,,,- - - - Underwear,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,- - - - Other:,,,,,,,,,,,,,"T-shirts (all white, short hemmed sleeves,hemmed bottom,
crew or round neckline, or V-neck, with a mitered seam at the center of the V, without pockets, trim or embroidery)",men's or boy's,Knitted or Crocheted,- - Of cotton:,,6109.10.0004
,,,,,,,,,6109.10.0042,,,,,- - - - - T-shirts,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.10.0062,,,,,- - - - - Tank tops,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.10.0070,,,,,- - - - - Other,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Singlets, all white, without pockets, trim or embroidery",men's or boy's,Knitted or Crocheted,- - Of cotton:,,6109.10.0007
6109.90,,,,,- - Of other textile materials:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - Of manmade fibers:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,- - - - Men's or boys':,,,,6109.90.1008,,,,,- - - - - T-shirts,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.1018,,,,,- - - - - Tank tops and singlets,,Doz.,kg,,,,,,,,,,Thermal undershirts,men's or boy's,Knitted or Crocheted,- - Of cotton:,,6109.10.0011
,,,,,,,,,6109.90.1047,,,,,- - - - - Thermal undershirts,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,6109.90.1049,,,,,- - - - - Other,,Doz.,kg,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Other T-shirts,men's or boy's,Knitted or Crocheted,- - Of cotton:,,6109.10.0013
